Metric,Value,Description
ramulator.active_cycles_27_2_1,52363,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,116711,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,66589,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,51159,Total active cycles for level _27_3_1
ramulator.active_cycles_28,402081,Total active cycles for level _28
ramulator.active_cycles_28_0,96522,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,48580,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,48308,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,98567,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,46495,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,53272,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,112300,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,60474,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,52697,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,117229,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,65335,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,52769,Total active cycles for level _28_3_1
ramulator.active_cycles_29,391684,Total active cycles for level _29
ramulator.active_cycles_29_0,95704,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,47835,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,48343,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,100798,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,46500,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,55558,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,105611,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,55345,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,51224,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,110996,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,61290,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,50592,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,98420,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,50001,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,48823,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,94078,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,47338,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,48020,Total active cycles for level _2_1_1
