Metric,Value,Description
ramulator.active_cycles_29_1_0,8638,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,9056,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,18433,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,8784,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,9649,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,17436,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,9225,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,8211,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,17396,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,9129,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,8267,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,16449,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,8014,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,8435,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,19370,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,9932,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,9519,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,18903,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,9470,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,9433,Total active cycles for level _2_3_1
ramulator.active_cycles_3,73434,Total active cycles for level _3
ramulator.active_cycles_30,70072,Total active cycles for level _30
ramulator.active_cycles_30_0,15857,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,8097,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,7760,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,18508,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,9017,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,9491,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,18612,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,9296,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,9316,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,17161,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,8557,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,8604,Total active cycles for level _30_3_1
ramulator.active_cycles_31,71028,Total active cycles for level _31
ramulator.active_cycles_31_0,16066,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,8115,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,7951,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,17852,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,8318,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,9534,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,18765,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,9877,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,8894,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,18371,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,9580,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,8791,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,16943,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,8896,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,8047,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,17300,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,8645,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,8655,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,18842,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,9771,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,9071,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,20349,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,9806,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,10543,Total active cycles for level _3_3_1
ramulator.active_cycles_4,72408,Total active cycles for level _4
ramulator.active_cycles_4_0,16069,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,8417,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,7652,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,17764,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,8171,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,9593,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,18873,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,9516,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,9357,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,19702,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,9454,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,10248,Total active cycles for level _4_3_1
ramulator.active_cycles_5,70295,Total active cycles for level _5
ramulator.active_cycles_5_0,15746,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,8014,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,7732,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,17733,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,7985,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,9778,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,18047,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,9295,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,8752,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,18769,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,8940,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,9829,Total active cycles for level _5_3_1
ramulator.active_cycles_6,71654,Total active cycles for level _6
ramulator.active_cycles_6_0,16615,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,8186,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,8429,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,17839,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,7670,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,10169,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,18097,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,9258,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,8839,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,19173,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,9864,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,9309,Total active cycles for level _6_3_1
ramulator.active_cycles_7,71826,Total active cycles for level _7
ramulator.active_cycles_7_0,16483,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,8208,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,8275,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,16966,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,7585,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,9381,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,18968,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,9994,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,8974,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,19494,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,10488,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,9006,Total active cycles for level _7_3_1
ramulator.active_cycles_8,70477,Total active cycles for level _8
ramulator.active_cycles_8_0,16290,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,8052,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,8238,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,16323,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,7631,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,8692,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,19222,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,9997,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,9225,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,18642,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,9700,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,8942,Total active cycles for level _8_3_1
ramulator.active_cycles_9,71695,Total active cycles for level _9
ramulator.active_cycles_9_0,16929,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,7880,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,9121,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,17344,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,8083,Total active cycles for level _9_1_0
ramulator.active_cycles_9_1_1,9354,Total active cycles for level _9_1_1
ramulator.active_cycles_9_2,18867,Total active cycles for level _9_2
ramulator.active_cycles_9_2_0,9660,Total active cycles for level _9_2_0
ramulator.active_cycles_9_2_1,9207,Total active cycles for level _9_2_1
ramulator.active_cycles_9_3,18649,Total active cycles for level _9_3
ramulator.active_cycles_9_3_0,10170,Total active cycles for level _9_3_0
ramulator.active_cycles_9_3_1,8479,Total active cycles for level _9_3_1
ramulator.average_serving_requests_0,2.6e-05,The average of read and write requests that are served in this DRAM element per memory cycle for level _0
ramulator.average_serving_requests_0_0,6e-06,The average of read and write requests that are served in this DRAM element per memory cycle for level _0_0
ramulator.average_serving_requests_0_0_0,3e-06,The average of read and write requests that are served in this DRAM element per memory cycle for level _0_0_0
