Metric,Value,Description
ramulator.active_cycles_25_1,5644366,Total active cycles for level _25_1
ramulator.active_cycles_25_1_0,3559328,Total active cycles for level _25_1_0
ramulator.active_cycles_25_1_1,2127495,Total active cycles for level _25_1_1
ramulator.active_cycles_25_2,5715396,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,3898242,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,1841638,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,7262929,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,3563273,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,3768665,Total active cycles for level _25_3_1
ramulator.active_cycles_26,22226289,Total active cycles for level _26
ramulator.active_cycles_26_0,6842581,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,3557276,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,3348011,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,5814334,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,3150881,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,2695814,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,3962356,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,2210907,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,1769993,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,6934646,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,3796536,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,3192392,Total active cycles for level _26_3_1
ramulator.active_cycles_27,17769944,Total active cycles for level _27
ramulator.active_cycles_27_0,4869151,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,2512427,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,2414198,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,4464720,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,2545161,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,1960133,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,4070547,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,2319041,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,1780667,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,5695503,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,3413069,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,2352557,Total active cycles for level _27_3_1
ramulator.active_cycles_28,16100557,Total active cycles for level _28
ramulator.active_cycles_28_0,4956348,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,2532720,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,2489527,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,4178688,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,2263111,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,1963252,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,3796014,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,2043504,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,1785193,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,4458074,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,2494725,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,2029146,Total active cycles for level _28_3_1
ramulator.active_cycles_29,18176958,Total active cycles for level _29
ramulator.active_cycles_29_0,5690148,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,2580144,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,3178441,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,4420123,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,2464098,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,1991823,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,4260027,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,2041619,Total active cycles for level _29_2_0
