Metric,Value,Description
ramulator.active_cycles_25_3,1599107,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,801528,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,799427,Total active cycles for level _25_3_1
ramulator.active_cycles_26,6323734,Total active cycles for level _26
ramulator.active_cycles_26_0,1602967,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,803149,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,801436,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,1599061,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,802182,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,798001,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,1599942,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,802235,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,799917,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,1592800,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,797273,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,797837,Total active cycles for level _26_3_1
ramulator.active_cycles_27,6327943,Total active cycles for level _27
ramulator.active_cycles_27_0,1599731,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,795268,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,805887,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,1599595,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,802200,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,798532,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,1602242,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,804700,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,799785,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,1601348,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,800079,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,803717,Total active cycles for level _27_3_1
ramulator.active_cycles_28,6319389,Total active cycles for level _28
ramulator.active_cycles_28_0,1604751,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,802777,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,803138,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,1603284,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,801621,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,803348,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,1593921,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,798921,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,797421,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,1593989,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,800717,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,794408,Total active cycles for level _28_3_1
ramulator.active_cycles_29,6318854,Total active cycles for level _29
ramulator.active_cycles_29_0,1606353,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,804959,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,802970,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,1608779,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,809796,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,801419,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,1596531,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,799807,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,797979,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,1603090,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,802733,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,801635,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,1603782,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,804557,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,800806,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,1607542,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,806066,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,803622,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,1604646,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,801256,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,805492,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,1595453,Total active cycles for level _2_3
ramulator.active_cycles_2_3_0,796371,Total active cycles for level _2_3_0
ramulator.active_cycles_2_3_1,801059,Total active cycles for level _2_3_1
ramulator.active_cycles_3,6342517,Total active cycles for level _3
ramulator.active_cycles_30,6327867,Total active cycles for level _30
ramulator.active_cycles_30_0,1609783,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,808460,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,803091,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,1603983,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,805799,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,800516,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,1592615,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,798952,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,795341,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,1597961,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,797526,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,802570,Total active cycles for level _30_3_1
ramulator.active_cycles_31,6324713,Total active cycles for level _31
