Metric,Value,Description
ramulator.active_cycles_30,15142226,Total active cycles for level _30
ramulator.active_cycles_30_0,3852381,Total active cycles for level _30_0
ramulator.active_cycles_30_0_0,1926215,Total active cycles for level _30_0_0
ramulator.active_cycles_30_0_1,1938006,Total active cycles for level _30_0_1
ramulator.active_cycles_30_1,3879412,Total active cycles for level _30_1
ramulator.active_cycles_30_1_0,1952641,Total active cycles for level _30_1_0
ramulator.active_cycles_30_1_1,1937707,Total active cycles for level _30_1_1
ramulator.active_cycles_30_2,3878077,Total active cycles for level _30_2
ramulator.active_cycles_30_2_0,1935211,Total active cycles for level _30_2_0
ramulator.active_cycles_30_2_1,1953395,Total active cycles for level _30_2_1
ramulator.active_cycles_30_3,3851005,Total active cycles for level _30_3
ramulator.active_cycles_30_3_0,1935325,Total active cycles for level _30_3_0
ramulator.active_cycles_30_3_1,1925689,Total active cycles for level _30_3_1
ramulator.active_cycles_31,15106746,Total active cycles for level _31
ramulator.active_cycles_31_0,3837942,Total active cycles for level _31_0
ramulator.active_cycles_31_0_0,1923785,Total active cycles for level _31_0_0
ramulator.active_cycles_31_0_1,1924962,Total active cycles for level _31_0_1
ramulator.active_cycles_31_1,3872722,Total active cycles for level _31_1
ramulator.active_cycles_31_1_0,1942606,Total active cycles for level _31_1_0
ramulator.active_cycles_31_1_1,1939691,Total active cycles for level _31_1_1
ramulator.active_cycles_31_2,3856964,Total active cycles for level _31_2
ramulator.active_cycles_31_2_0,1940101,Total active cycles for level _31_2_0
ramulator.active_cycles_31_2_1,1927979,Total active cycles for level _31_2_1
ramulator.active_cycles_31_3,3862282,Total active cycles for level _31_3
ramulator.active_cycles_31_3_0,1949007,Total active cycles for level _31_3_0
ramulator.active_cycles_31_3_1,1923318,Total active cycles for level _31_3_1
ramulator.active_cycles_3_0,3941369,Total active cycles for level _3_0
ramulator.active_cycles_3_0_0,1972227,Total active cycles for level _3_0_0
ramulator.active_cycles_3_0_1,1978355,Total active cycles for level _3_0_1
ramulator.active_cycles_3_1,3960833,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,1977697,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,1994640,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,3984449,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,1994303,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,2000742,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,3955776,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,1976460,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,1990095,Total active cycles for level _3_3_1
ramulator.active_cycles_4,15662116,Total active cycles for level _4
ramulator.active_cycles_4_0,3984798,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,2002414,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,1993598,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,3984622,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,1981855,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,2013038,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,4005002,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,2017437,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,1998207,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,3992655,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,2010241,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,1992496,Total active cycles for level _4_3_1
ramulator.active_cycles_5,15829610,Total active cycles for level _5
ramulator.active_cycles_5_0,4008134,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,2002471,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,2014768,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,4038283,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,2021829,Total active cycles for level _5_1_0
