Metric,Value,Description
ramulator.active_cycles_25_3_0,5061855,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,5874156,Total active cycles for level _25_3_1
ramulator.active_cycles_26,38222154,Total active cycles for level _26
ramulator.active_cycles_26_0,9861054,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,4719947,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,5157975,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,9535150,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,5884924,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,3671181,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,9034315,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,5166680,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,3887225,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,10619335,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,4466503,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,6170823,Total active cycles for level _26_3_1
ramulator.active_cycles_27,33344606,Total active cycles for level _27
ramulator.active_cycles_27_0,9645805,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,4684465,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,4972750,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,8050895,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,4374083,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,3689255,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,7569694,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,3691662,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,3901407,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,8937260,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,4175587,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,4771860,Total active cycles for level _27_3_1
ramulator.active_cycles_28,40498252,Total active cycles for level _28
ramulator.active_cycles_28_0,9683554,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,4750951,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,4948047,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,10472646,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,5766894,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,4725808,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,9107481,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,5491752,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,3642691,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,12123543,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,5522739,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,6618653,Total active cycles for level _28_3_1
ramulator.active_cycles_29,37031611,Total active cycles for level _29
ramulator.active_cycles_29_0,9662592,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,4727277,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,4947396,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,8375519,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,4474834,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,3916645,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,9717688,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,5270037,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,4465031,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,10141081,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,4737662,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,5413439,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,9482664,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,4750478,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,4750662,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,9331648,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,4948371,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,4406707,Total active cycles for level _2_1_1
ramulator.active_cycles_2_2,7500968,Total active cycles for level _2_2
ramulator.active_cycles_2_2_0,3797597,Total active cycles for level _2_2_0
ramulator.active_cycles_2_2_1,3725871,Total active cycles for level _2_2_1
ramulator.active_cycles_2_3,7671892,Total active cycles for level _2_3
