Metric,Value,Description
ramulator.active_cycles_4_1,1750578,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,864403,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,889360,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,1690457,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,848362,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,844581,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,3143802,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,1562978,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,1583063,Total active cycles for level _4_3_1
ramulator.active_cycles_5,6616285,Total active cycles for level _5
ramulator.active_cycles_5_0,1685865,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,842681,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,845938,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,1735896,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,868349,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,870489,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,1688426,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,846304,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,844656,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,1695618,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,843300,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,854504,Total active cycles for level _5_3_1
ramulator.active_cycles_6,6621376,Total active cycles for level _6
ramulator.active_cycles_6_0,1684377,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,844153,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,842275,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,1720877,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,860496,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,863078,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,1685043,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,842565,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,844354,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,1704400,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,857320,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,849157,Total active cycles for level _6_3_1
