Metric,Value,Description
ramulator.active_cycles_25_2,36748,Total active cycles for level _25_2
ramulator.active_cycles_25_2_0,15157,Total active cycles for level _25_2_0
ramulator.active_cycles_25_2_1,21836,Total active cycles for level _25_2_1
ramulator.active_cycles_25_3,43169,Total active cycles for level _25_3
ramulator.active_cycles_25_3_0,31897,Total active cycles for level _25_3_0
ramulator.active_cycles_25_3_1,11381,Total active cycles for level _25_3_1
ramulator.active_cycles_26,166566,Total active cycles for level _26
ramulator.active_cycles_26_0,46535,Total active cycles for level _26_0
ramulator.active_cycles_26_0_0,22828,Total active cycles for level _26_0_0
ramulator.active_cycles_26_0_1,24389,Total active cycles for level _26_0_1
ramulator.active_cycles_26_1,37662,Total active cycles for level _26_1
ramulator.active_cycles_26_1_0,10456,Total active cycles for level _26_1_0
ramulator.active_cycles_26_1_1,27297,Total active cycles for level _26_1_1
ramulator.active_cycles_26_2,54091,Total active cycles for level _26_2
ramulator.active_cycles_26_2_0,11966,Total active cycles for level _26_2_0
ramulator.active_cycles_26_2_1,42253,Total active cycles for level _26_2_1
ramulator.active_cycles_26_3,33046,Total active cycles for level _26_3
ramulator.active_cycles_26_3_0,23645,Total active cycles for level _26_3_0
ramulator.active_cycles_26_3_1,9461,Total active cycles for level _26_3_1
ramulator.active_cycles_27,94828,Total active cycles for level _27
ramulator.active_cycles_27_0,29092,Total active cycles for level _27_0
ramulator.active_cycles_27_0_0,12132,Total active cycles for level _27_0_0
ramulator.active_cycles_27_0_1,17431,Total active cycles for level _27_0_1
ramulator.active_cycles_27_1,22327,Total active cycles for level _27_1
ramulator.active_cycles_27_1_0,8530,Total active cycles for level _27_1_0
ramulator.active_cycles_27_1_1,13977,Total active cycles for level _27_1_1
ramulator.active_cycles_27_2,25069,Total active cycles for level _27_2
ramulator.active_cycles_27_2_0,9221,Total active cycles for level _27_2_0
ramulator.active_cycles_27_2_1,16054,Total active cycles for level _27_2_1
ramulator.active_cycles_27_3,22806,Total active cycles for level _27_3
ramulator.active_cycles_27_3_0,15125,Total active cycles for level _27_3_0
ramulator.active_cycles_27_3_1,7951,Total active cycles for level _27_3_1
ramulator.active_cycles_28,76748,Total active cycles for level _28
ramulator.active_cycles_28_0,27853,Total active cycles for level _28_0
ramulator.active_cycles_28_0_0,16708,Total active cycles for level _28_0_0
ramulator.active_cycles_28_0_1,12082,Total active cycles for level _28_0_1
ramulator.active_cycles_28_1,18492,Total active cycles for level _28_1
ramulator.active_cycles_28_1_0,9101,Total active cycles for level _28_1_0
ramulator.active_cycles_28_1_1,9411,Total active cycles for level _28_1_1
ramulator.active_cycles_28_2,18612,Total active cycles for level _28_2
ramulator.active_cycles_28_2_0,8633,Total active cycles for level _28_2_0
ramulator.active_cycles_28_2_1,10089,Total active cycles for level _28_2_1
ramulator.active_cycles_28_3,16122,Total active cycles for level _28_3
ramulator.active_cycles_28_3_0,8900,Total active cycles for level _28_3_0
ramulator.active_cycles_28_3_1,7452,Total active cycles for level _28_3_1
ramulator.active_cycles_29,125613,Total active cycles for level _29
ramulator.active_cycles_29_0,22632,Total active cycles for level _29_0
ramulator.active_cycles_29_0_0,12439,Total active cycles for level _29_0_0
ramulator.active_cycles_29_0_1,10484,Total active cycles for level _29_0_1
ramulator.active_cycles_29_1,43927,Total active cycles for level _29_1
ramulator.active_cycles_29_1_0,20856,Total active cycles for level _29_1_0
ramulator.active_cycles_29_1_1,23255,Total active cycles for level _29_1_1
ramulator.active_cycles_29_2,25649,Total active cycles for level _29_2
ramulator.active_cycles_29_2_0,16953,Total active cycles for level _29_2_0
ramulator.active_cycles_29_2_1,8876,Total active cycles for level _29_2_1
ramulator.active_cycles_29_3,38107,Total active cycles for level _29_3
ramulator.active_cycles_29_3_0,22865,Total active cycles for level _29_3_0
ramulator.active_cycles_29_3_1,15428,Total active cycles for level _29_3_1
ramulator.active_cycles_2_0,45428,Total active cycles for level _2_0
ramulator.active_cycles_2_0_0,21037,Total active cycles for level _2_0_0
ramulator.active_cycles_2_0_1,24551,Total active cycles for level _2_0_1
ramulator.active_cycles_2_1,66100,Total active cycles for level _2_1
ramulator.active_cycles_2_1_0,13185,Total active cycles for level _2_1_0
ramulator.active_cycles_2_1_1,53146,Total active cycles for level _2_1_1
