Metric,Value,Description
ramulator.active_cycles_3_1,41403,Total active cycles for level _3_1
ramulator.active_cycles_3_1_0,17979,Total active cycles for level _3_1_0
ramulator.active_cycles_3_1_1,23595,Total active cycles for level _3_1_1
ramulator.active_cycles_3_2,45665,Total active cycles for level _3_2
ramulator.active_cycles_3_2_0,25286,Total active cycles for level _3_2_0
ramulator.active_cycles_3_2_1,20564,Total active cycles for level _3_2_1
ramulator.active_cycles_3_3,29452,Total active cycles for level _3_3
ramulator.active_cycles_3_3_0,12300,Total active cycles for level _3_3_0
ramulator.active_cycles_3_3_1,17272,Total active cycles for level _3_3_1
ramulator.active_cycles_4,216655,Total active cycles for level _4
ramulator.active_cycles_4_0,49878,Total active cycles for level _4_0
ramulator.active_cycles_4_0_0,25324,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,24745,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,59787,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,11479,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,48535,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,51670,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,29014,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,22822,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,60445,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,19737,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,40909,Total active cycles for level _4_3_1
ramulator.active_cycles_5,110371,Total active cycles for level _5
ramulator.active_cycles_5_0,28994,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,12451,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,16707,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,25142,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,11204,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,14049,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,27331,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,8826,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,18653,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,33081,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,9825,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,23368,Total active cycles for level _5_3_1
ramulator.active_cycles_6,144409,Total active cycles for level _6
ramulator.active_cycles_6_0,36175,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,11865,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,24516,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,27422,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,11751,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,15916,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,36235,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,21832,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,14707,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,49173,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,16457,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,33021,Total active cycles for level _6_3_1
ramulator.active_cycles_7,172015,Total active cycles for level _7
ramulator.active_cycles_7_0,46623,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,18602,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,28165,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,32918,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,15456,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,17635,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,30615,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,10628,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,20169,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,66741,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,28486,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,38580,Total active cycles for level _7_3_1
ramulator.active_cycles_8,170259,Total active cycles for level _8
ramulator.active_cycles_8_0,36414,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,16377,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,20256,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,42575,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,16907,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,25750,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,48510,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,9000,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,39744,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,47688,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,19461,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,28457,Total active cycles for level _8_3_1
ramulator.active_cycles_9,288667,Total active cycles for level _9
ramulator.active_cycles_9_0,54754,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,16842,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,38233,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,70970,Total active cycles for level _9_1
ramulator.active_cycles_9_1_0,43337,Total active cycles for level _9_1_0
ramulator.active_cycles_9_1_1,27783,Total active cycles for level _9_1_1
ramulator.active_cycles_9_2,118787,Total active cycles for level _9_2
ramulator.active_cycles_9_2_0,11083,Total active cycles for level _9_2_0
ramulator.active_cycles_9_2_1,107914,Total active cycles for level _9_2_1
ramulator.active_cycles_9_3,49447,Total active cycles for level _9_3
ramulator.active_cycles_9_3_0,9529,Total active cycles for level _9_3_0
ramulator.active_cycles_9_3_1,40049,Total active cycles for level _9_3_1
ramulator.average_serving_requests_0,0.004933,The average of read and write requests that are served in this DRAM element per memory cycle for level _0
ramulator.average_serving_requests_0_0,0.001128,The average of read and write requests that are served in this DRAM element per memory cycle for level _0_0
ramulator.average_serving_requests_0_0_0,0.000241,The average of read and write requests that are served in this DRAM element per memory cycle for level _0_0_0
