Metric,Value,Description
ramulator.active_cycles_8_0,9048311,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,7657388,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,1408950,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,9365902,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,8223346,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,1159677,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,8244919,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,5453164,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,2807567,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,6420880,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,5366444,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,1070053,Total active cycles for level _8_3_1
ramulator.active_cycles_9,50686772,Total active cycles for level _9
ramulator.active_cycles_9_0,10158811,Total active cycles for level _9_0
ramulator.active_cycles_9_0_0,8795697,Total active cycles for level _9_0_0
ramulator.active_cycles_9_0_1,1379280,Total active cycles for level _9_0_1
ramulator.active_cycles_9_1,18892954,Total active cycles for level _9_1
