Metric,Value,Description
ramulator.active_cycles_4_0_0,3202921,Total active cycles for level _4_0_0
ramulator.active_cycles_4_0_1,3605296,Total active cycles for level _4_0_1
ramulator.active_cycles_4_1,2335843,Total active cycles for level _4_1
ramulator.active_cycles_4_1_0,1140264,Total active cycles for level _4_1_0
ramulator.active_cycles_4_1_1,1205902,Total active cycles for level _4_1_1
ramulator.active_cycles_4_2,8963638,Total active cycles for level _4_2
ramulator.active_cycles_4_2_0,5851309,Total active cycles for level _4_2_0
ramulator.active_cycles_4_2_1,3120162,Total active cycles for level _4_2_1
ramulator.active_cycles_4_3,2182638,Total active cycles for level _4_3
ramulator.active_cycles_4_3_0,1131499,Total active cycles for level _4_3_0
ramulator.active_cycles_4_3_1,1062591,Total active cycles for level _4_3_1
ramulator.active_cycles_5,8772477,Total active cycles for level _5
ramulator.active_cycles_5_0,2377532,Total active cycles for level _5_0
ramulator.active_cycles_5_0_0,1192773,Total active cycles for level _5_0_0
ramulator.active_cycles_5_0_1,1196974,Total active cycles for level _5_0_1
ramulator.active_cycles_5_1,2319964,Total active cycles for level _5_1
ramulator.active_cycles_5_1_0,1191791,Total active cycles for level _5_1_0
ramulator.active_cycles_5_1_1,1140376,Total active cycles for level _5_1_1
ramulator.active_cycles_5_2,2378558,Total active cycles for level _5_2
ramulator.active_cycles_5_2_0,1209630,Total active cycles for level _5_2_0
ramulator.active_cycles_5_2_1,1178562,Total active cycles for level _5_2_1
ramulator.active_cycles_5_3,2184844,Total active cycles for level _5_3
ramulator.active_cycles_5_3_0,1135459,Total active cycles for level _5_3_0
ramulator.active_cycles_5_3_1,1062925,Total active cycles for level _5_3_1
ramulator.active_cycles_6,15138739,Total active cycles for level _6
ramulator.active_cycles_6_0,4557701,Total active cycles for level _6_0
ramulator.active_cycles_6_0_0,3360402,Total active cycles for level _6_0_0
ramulator.active_cycles_6_0_1,1208133,Total active cycles for level _6_0_1
ramulator.active_cycles_6_1,4460405,Total active cycles for level _6_1
ramulator.active_cycles_6_1_0,3213949,Total active cycles for level _6_1_0
ramulator.active_cycles_6_1_1,1258036,Total active cycles for level _6_1_1
ramulator.active_cycles_6_2,4434956,Total active cycles for level _6_2
ramulator.active_cycles_6_2_0,3208197,Total active cycles for level _6_2_0
ramulator.active_cycles_6_2_1,1234735,Total active cycles for level _6_2_1
ramulator.active_cycles_6_3,2182226,Total active cycles for level _6_3
ramulator.active_cycles_6_3_0,1137537,Total active cycles for level _6_3_0
ramulator.active_cycles_6_3_1,1058240,Total active cycles for level _6_3_1
ramulator.active_cycles_7,33174831,Total active cycles for level _7
ramulator.active_cycles_7_0,13608535,Total active cycles for level _7_0
ramulator.active_cycles_7_0_0,12207691,Total active cycles for level _7_0_0
ramulator.active_cycles_7_0_1,1411694,Total active cycles for level _7_0_1
ramulator.active_cycles_7_1,7418263,Total active cycles for level _7_1
ramulator.active_cycles_7_1_0,6293054,Total active cycles for level _7_1_0
ramulator.active_cycles_7_1_1,1135801,Total active cycles for level _7_1_1
ramulator.active_cycles_7_2,5958218,Total active cycles for level _7_2
ramulator.active_cycles_7_2_0,4835938,Total active cycles for level _7_2_0
ramulator.active_cycles_7_2_1,1130538,Total active cycles for level _7_2_1
ramulator.active_cycles_7_3,6677378,Total active cycles for level _7_3
ramulator.active_cycles_7_3_0,5626800,Total active cycles for level _7_3_0
ramulator.active_cycles_7_3_1,1063450,Total active cycles for level _7_3_1
ramulator.active_cycles_8,32789022,Total active cycles for level _8
ramulator.active_cycles_8_0,9049449,Total active cycles for level _8_0
ramulator.active_cycles_8_0_0,7657653,Total active cycles for level _8_0_0
ramulator.active_cycles_8_0_1,1411460,Total active cycles for level _8_0_1
ramulator.active_cycles_8_1,9369954,Total active cycles for level _8_1
ramulator.active_cycles_8_1_0,8223098,Total active cycles for level _8_1_0
ramulator.active_cycles_8_1_1,1165667,Total active cycles for level _8_1_1
ramulator.active_cycles_8_2,8228543,Total active cycles for level _8_2
ramulator.active_cycles_8_2_0,5434020,Total active cycles for level _8_2_0
ramulator.active_cycles_8_2_1,2811943,Total active cycles for level _8_2_1
ramulator.active_cycles_8_3,6424660,Total active cycles for level _8_3
ramulator.active_cycles_8_3_0,5367443,Total active cycles for level _8_3_0
ramulator.active_cycles_8_3_1,1073985,Total active cycles for level _8_3_1
ramulator.active_cycles_9,50625895,Total active cycles for level _9
